id_pedido;cliente;restaurante;categoria;data_pedido;valor_pedido;taxa_entrega;desconto;quantidade_itens;forma_pagamento;status;cidade
40;Cliente_1338;Pastel & Cia;Açai;27/09/2024;74.42;11.34;5.0;2;Cartao Debito;Entregue;Curitiba
41;Cliente_344;Churrasco Grill;Salgados;10-17-2024;38.02;7.44;;2;Dinheiro;Cancelado;Curitiba
42;Cliente_1891;Pastel & Cia;Salgados;03-14-2024;130.41;3.83;10.0;2;Pix;Saiu para entrega;Curitiba
43;Cliente_2376;Tempero Caseiro;Hamburguer;03/06/2024;127.99;14.45;;1;Pix;Cancelado;Salvador
44;Cliente_1748;Burger House;Salgados;04-15-2024;26.0;5.24;5.0;4;Pix;Saiu para entrega;Belo Horizonte
45;Cliente_519;Pastel & Cia;Salgados;03/02/2024;136.13;10.62;0.0;2;Cartao Debito;Entregue;Belo Horizonte
46;Cliente_60;Burger House;Pizza;09-20-2024;120.23;12.45;;1;Dinheiro;Saiu para entrega;Curitiba
47;Cliente_1748;   - Tropical;Italiana;09/01/2024;79.26;5.99;0.0;3;Cartão Crédito;Entregue;Salvador
48;Cliente_2522;Churrasco Grill;Italiana;31/07/2024;56.22;13.95;0.0;2;pix;Cancelado;Salvador
49;Cliente_924;Tempero Caseiro;Japonesa;06/11/2024;22.44;3.81;10.0;2;Cartao Debito;Em preparo;Belo Horizonte
50;Cliente_379;Pizza_Mania;Italiana;25/11/2024;87.39;6.48;0.0;2;Cartão Crédito;Entregue;Belo Horizonte
51;Cliente_247;   - Tropical;Italiana;10-21-2024;115.38;7.01;10.0;4;Cartao Debito;Saiu para entrega;Salvador
52;Cliente_768;Sushi Express;Brasileira;26/02/2024;128.68;12.32;0.0;2;Cartao Debito;Entregue;Curitiba
53;Cliente_2667;Burger House;Salgados;17/06/2024;40.38;3.63;;3;pix;Entregue;São Paulo
54;Cliente_843;Pastel & Cia;Hamburguer;08-25-2024;56.07;11.04;;3;pix;Cancelado;Curitiba
55;Cliente_613;Pizza_Mania;Japonesa;21/03/2024;68.32;13.91;5.0;1;Cartão Crédito;Entregue;Rio de Janeiro
56;Cliente_516;Sushi Express;Pizza;02/10/2024;49.86;5.9;5.0;2;Cartão Crédito;Saiu para entrega;Belo Horizonte
57;Cliente_1996;Pastel & Cia;Salgados;05-27-2024;44.15;12.05;5.0;3;Cartão Crédito;Em preparo;Rio de Janeiro
58;Cliente_366;Tempero Caseiro;Salgados;27/04/2024;64.73;12.2;10.0;4;Cartão Crédito;Saiu para entrega;Salvador
59;Cliente_47;Burger House;Hamburguer;18/07/2024;110.49;7.73;;3;pix;Saiu para entrega;São Paulo
60;Cliente_170;Cantina Italiana;Brasileira;07/07/2024;85.22;7.02;;3;Cartão Crédito;Saiu para entrega;Salvador
61;Cliente_2195;Pizza_Mania;Churrasco;08/09/2024;26.18;12.9;10.0;2;Cartao Debito;Saiu para entrega;Salvador
62;Cliente_1108;Pizza_Mania;Italiana;21/03/2024;75.05;14.15;0.0;2;Cartão Crédito;Entregue;Salvador
63;Cliente_1551;Burger House;Brasileira;02/12/2024;94.0;13.73;;3;Cartão Crédito;Saiu para entrega;Rio de Janeiro
64;Cliente_2682;   - Tropical;Brasileira;29/09/2024;147.15;8.24;;3;pix;Entregue;Curitiba
65;Cliente_1759;Tempero Caseiro;Brasileira;30/03/2024;100.82;9.29;5.0;2;Cartão Crédito;Entregue;Salvador
66;Cliente_67;Tempero Caseiro;Salgados;28/02/2024;23.33;14.97;;2;Pix;Saiu para entrega;São Paulo
67;Cliente_1952;   - Tropical;Italiana;30/08/2024;88.73;14.33;;3;Dinheiro;Saiu para entrega;Belo Horizonte
68;Cliente_281;Cantina Italiana;Pizza;22/08/2024;89.46;9.68;5.0;4;pix;Entregue;Rio de Janeiro
69;Cliente_2330;   - Tropical;Salgados;17/09/2024;132.94;13.41;10.0;2;Cartao Debito;Entregue;Rio de Janeiro
70;Cliente_2152;   - Tropical;Italiana;16/12/2024;102.47;10.59;0.0;3;Pix;Saiu para entrega;Salvador
71;Cliente_2278;Cantina Italiana;Pizza;11/09/2024;80.24;14.79;10.0;4;Pix;Cancelado;Salvador
72;Cliente_2242;Sushi Express;Churrasco;25/09/2024;89.42;9.04;5.0;1;Cartão Crédito;Cancelado;Curitiba
73;Cliente_1963;Pastel & Cia;Pizza;26/03/2024;34.42;3.49;10.0;3;Cartao Debito;Saiu para entrega;Salvador
74;Cliente_2988;Burger House;Hamburguer;14/07/2024;120.32;14.35;0.0;4;Pix;Em preparo;Salvador
75;Cliente_833;Burger House;Italiana;29/03/2024;108.6;9.22;;1;Dinheiro;Entregue;Rio de Janeiro
76;Cliente_1873;Tempero Caseiro;Brasileira;05/07/2024;55.88;3.33;5.0;2;pix;Cancelado;Rio de Janeiro
77;Cliente_2691;Pizza_Mania;A@a�;12-13-2024;116.42;3.74;;2;Pix;Cancelado;Salvador
78;Cliente_2539;Pizza_Mania;A@a�;12-28-2024;94.99;13.82;;3;pix;Cancelado;São Paulo
79;Cliente_1305;Churrasco Grill;Açai;09/05/2024;145.66;11.15;0.0;2;Cartao Debito;Entregue;Belo Horizonte
80;Cliente_2610;Tempero Caseiro;Italiana;22/10/2024;61.28;9.91;0.0;1;Cartao Debito;Saiu para entrega;São Paulo
81;Cliente_1428;Pastel & Cia;Hamburguer;12/08/2024;83.49;10.06;0.0;3;pix;Entregue;Curitiba
82;Cliente_2455;Churrasco Grill;Pizza;24/01/2024;116.95;7.61;0.0;2;Cartão Crédito;Saiu para entrega;Rio de Janeiro
83;Cliente_1377;Burger House;Salgados;02/04/2024;46.0;12.34;10.0;4;Cartao Debito;Em preparo;Belo Horizonte
84;Cliente_2496;Churrasco Grill;Açai;07/12/2024;45.36;8.21;;4;Cartao Debito;Cancelado;Salvador
85;Cliente_1556;Cantina Italiana;Pizza;16/12/2024;57.75;14.5;10.0;1;Cartão Crédito;Entregue;Rio de Janeiro
86;Cliente_2409;Churrasco Grill;Salgados;12/04/2024;54.36;12.08;10.0;2;Pix;Em preparo;São Paulo
87;Cliente_2498;Tempero Caseiro;Salgados;28/07/2024;130.69;9.7;;3;Cartão Crédito;Saiu para entrega;Curitiba
88;Cliente_1407;Tempero Caseiro;Salgados;07-17-2024;123.59;12.8;;3;Pix;Em preparo;Salvador
89;Cliente_906;Cantina Italiana;Hamburguer;11/11/2024;129.1;9.61;0.0;1;Pix;Entregue;Belo Horizonte
90;Cliente_1510;Churrasco Grill;Japonesa;10/06/2024;80.46;5.24;5.0;1;Pix;Cancelado;São Paulo
91;Cliente_528;Pizza_Mania;Salgados;05/08/2024;31.11;14.66;5.0;1;pix;Entregue;Belo Horizonte
92;Cliente_2107;Pastel & Cia;Japonesa;09/11/2024;21.17;10.92;0.0;3;Dinheiro;Entregue;Salvador
93;Cliente_2043;Burger House;Italiana;06/12/2024;30.71;13.88;0.0;4;Cartao Debito;Cancelado;Belo Horizonte
94;Cliente_226;Tempero Caseiro;Pizza;01/05/2024;78.53;14.96;10.0;2;Pix;Em preparo;Salvador
95;Cliente_1837;Pastel & Cia;Salgados;14/10/2024;43.89;11.09;10.0;3;Dinheiro;Cancelado;Belo Horizonte
96;Cliente_461;Cantina Italiana;Churrasco;11/06/2024;124.32;3.6;;3;Cartão Crédito;Entregue;Curitiba
97;Cliente_2266;Burger House;Churrasco;04/10/2024;41.02;6.53;0.0;3;Cartao Debito;Cancelado;Belo Horizonte
98;Cliente_1105;Tempero Caseiro;Pizza;21/03/2024;128.79;5.36;5.0;4;Cartao Debito;Em preparo;Salvador
99;Cliente_901;Tempero Caseiro;Salgados;06/10/2024;20.23;8.71;0.0;1;Dinheiro;Em preparo;Salvador
100;Cliente_2155;Cantina Italiana;Japonesa;07/05/2024;101.52;10.14;10.0;2;Dinheiro;Em preparo;Salvador
101;Cliente_529;Pastel & Cia;Hamburguer;10/10/2024;60.14;9.98;0.0;2;Pix;Entregue;São Paulo
102;Cliente_1578;Cantina Italiana;Brasileira;10-14-2024;58.82;9.92;;3;pix;Saiu para entrega;São Paulo
103;Cliente_2914;Churrasco Grill;Açai;31/03/2024;149.65;5.82;5.0;4;Cartão Crédito;Saiu para entrega;Salvador
104;Cliente_2562;Burger House;Pizza;07/04/2024;94.65;13.87;10.0;4;Pix;Em preparo;Belo Horizonte
105;Cliente_1839;Sushi Express;Pizza;03/03/2024;28.23;6.75;5.0;3;Pix;Em preparo;Salvador
106;Cliente_2533;Tempero Caseiro;Churrasco;03/02/2024;98.29;6.53;10.0;4;Cartão Crédito;Saiu para entrega;Salvador
107;Cliente_374;Cantina Italiana;Japonesa;07/08/2024;107.72;5.58;0.0;3;Pix;Cancelado;Curitiba
108;Cliente_1539;Pastel & Cia;Italiana;15/06/2024;116.6;14.86;5.0;2;Cartão Crédito;Saiu para entrega;Belo Horizonte
109;Cliente_431;Pizza_Mania;Italiana;05/09/2024;121.04;6.22;5.0;2;Cartão Crédito;Em preparo;Curitiba
110;Cliente_833;Cantina Italiana;Italiana;16/02/2024;80.56;9.82;0.0;1;Pix;Em preparo;Curitiba
111;Cliente_1088;Churrasco Grill;Salgados;11-23-2024;24.6;8.96;5.0;3;Dinheiro;Entregue;Curitiba
112;Cliente_451;   - Tropical;Japonesa;05/10/2024;122.74;6.54;0.0;1;Cartão Crédito;Saiu para entrega;Belo Horizonte
113;Cliente_2551;   - Tropical;Açai;29/12/2024;26.5;6.63;5.0;2;pix;Saiu para entrega;São Paulo
114;Cliente_2775;Burger House;Açai;07/02/2024;75.55;13.12;;3;Cartão Crédito;Cancelado;São Paulo
115;Cliente_277;Churrasco Grill;Italiana;29/05/2024;65.74;10.38;0.0;3;Dinheiro;Cancelado;Curitiba
116;Cliente_1714;Burger House;Brasileira;17/02/2024;142.98;13.25;5.0;3;Cartão Crédito;Entregue;Curitiba
117;Cliente_2254;Tempero Caseiro;Salgados;12-14-2024;68.15;3.11;10.0;1;Cartao Debito;Saiu para entrega;Rio de Janeiro
118;Cliente_1535;Cantina Italiana;Japonesa;19/04/2024;39.34;6.58;10.0;3;pix;Saiu para entrega;Belo Horizonte
119;Cliente_1126;Churrasco Grill;Brasileira;12/06/2024;63.02;10.19;0.0;2;Cartão Crédito;Saiu para entrega;Curitiba
120;Cliente_1900;Cantina Italiana;Brasileira;25/04/2024;61.33;7.09;;4;Cartao Debito;Em preparo;Rio de Janeiro
121;Cliente_558;Burger House;Pizza;22/12/2024;64.6;14.82;10.0;1;pix;Entregue;Curitiba
122;Cliente_2687;Churrasco Grill;Pizza;08-18-2024;65.95;5.05;5.0;4;Cartão Crédito;Cancelado;Rio de Janeiro
123;Cliente_1203;Cantina Italiana;Japonesa;11/10/2024;108.32;11.01;5.0;3;Pix;Saiu para entrega;Curitiba
124;Cliente_1578;Sushi Express;Italiana;22/01/2024;70.96;3.76;;2;Pix;Saiu para entrega;Belo Horizonte
125;Cliente_2425;Cantina Italiana;Açai;18/03/2024;117.29;3.53;0.0;3;Pix;Entregue;Belo Horizonte
126;Cliente_45;Burger House;Açai;04-25-2024;87.39;3.34;0.0;3;Cartao Debito;Saiu para entrega;Salvador
127;Cliente_931;Tempero Caseiro;Brasileira;08/10/2024;144.49;6.65;0.0;1;Dinheiro;Cancelado;São Paulo
128;Cliente_508;Tempero Caseiro;Pizza;07/06/2024;35.61;11.85;;1;Dinheiro;Entregue;Belo Horizonte
129;Cliente_1256;Pizza_Mania;Japonesa;27/10/2024;121.86;7.08;0.0;4;Cartao Debito;Cancelado;Rio de Janeiro
130;Cliente_20;Burger House;Churrasco;02/03/2024;130.53;12.1;;2;Dinheiro;Saiu para entrega;São Paulo
131;Cliente_274;Cantina Italiana;Hamburguer;01/02/2024;106.96;4.22;5.0;4;Pix;Saiu para entrega;Salvador
132;Cliente_2847;   - Tropical;Salgados;05/04/2024;21.25;5.3;0.0;3;Cartão Crédito;Entregue;São Paulo
133;Cliente_2741;   - Tropical;Salgados;23/03/2024;43.02;8.48;;3;Dinheiro;Cancelado;São Paulo
134;Cliente_2435;Sushi Express;Pizza;04-15-2024;132.79;5.68;10.0;4;Cartão Crédito;Saiu para entrega;Belo Horizonte
135;Cliente_367;Cantina Italiana;Açai;04/03/2024;72.93;9.3;;3;Cartão Crédito;Entregue;Curitiba
136;Cliente_980;Tempero Caseiro;Brasileira;06/05/2024;137.8;3.78;0.0;4;Dinheiro;Em preparo;Curitiba
137;Cliente_910;Pizza_Mania;Hamburguer;03-20-2024;90.26;14.53;0.0;4;Pix;Entregue;Belo Horizonte
138;Cliente_2867;Pastel & Cia;Pizza;21/07/2024;27.45;13.99;5.0;2;pix;Cancelado;Rio de Janeiro
139;Cliente_1557;   - Tropical;Churrasco;30/03/2024;53.57;14.09;0.0;3;Dinheiro;Saiu para entrega;Belo Horizonte
140;Cliente_2922;Pizza_Mania;Hamburguer;11/07/2024;88.93;4.22;0.0;3;Cartão Crédito;Saiu para entrega;Salvador
141;Cliente_2938;Churrasco Grill;Brasileira;28/01/2024;104.86;11.51;5.0;1;pix;Cancelado;Salvador
142;Cliente_2268;Tempero Caseiro;Italiana;17/10/2024;147.2;10.42;10.0;2;Dinheiro;Saiu para entrega;Rio de Janeiro
143;Cliente_1344;Cantina Italiana;Hamburguer;16/03/2024;84.51;11.57;;4;Cartao Debito;Entregue;São Paulo
144;Cliente_2480;Churrasco Grill;Italiana;22/01/2024;47.31;5.98;;3;Pix;Em preparo;Salvador
145;Cliente_1308;Pizza_Mania;A@a�;12/05/2024;105.47;14.47;10.0;2;pix;Em preparo;Belo Horizonte
146;Cliente_2397;Tempero Caseiro;Japonesa;09-30-2024;137.47;3.72;0.0;4;Cartão Crédito;Entregue;Rio de Janeiro
147;Cliente_1789;Sushi Express;Açai;05/04/2024;66.25;3.58;5.0;3;Cartao Debito;Cancelado;Rio de Janeiro
148;Cliente_281;Cantina Italiana;Brasileira;03-25-2024;94.29;7.18;10.0;2;pix;Em preparo;Rio de Janeiro
149;Cliente_2508;Tempero Caseiro;Japonesa;20/06/2024;111.84;7.19;;4;Cartao Debito;Em preparo;Belo Horizonte
150;Cliente_852;Cantina Italiana;Italiana;07/06/2024;20.31;9.07;5.0;2;Dinheiro;Em preparo;Belo Horizonte
151;Cliente_1797;Cantina Italiana;Pizza;18/11/2024;24.2;4.96;;1;Pix;Em preparo;Salvador
152;Cliente_1681;   - Tropical;Italiana;18/06/2024;81.29;12.72;;1;pix;Cancelado;Curitiba
153;Cliente_2926;   - Tropical;Salgados;02/07/2024;69.39;13.18;;3;Cartão Crédito;Cancelado;Curitiba
154;Cliente_553;Burger House;Japonesa;08/10/2024;127.76;7.58;0.0;3;Cartão Crédito;Cancelado;Salvador
155;Cliente_1473;Tempero Caseiro;Salgados;12-29-2024;30.53;10.1;10.0;1;pix;Em preparo;Curitiba
156;Cliente_2145;Pizza_Mania;Salgados;16/10/2024;132.28;6.72;;3;Pix;Entregue;Salvador
157;Cliente_2504;Sushi Express;Pizza;14/07/2024;104.6;5.7;5.0;4;Cartão Crédito;Entregue;Belo Horizonte
158;Cliente_538;Pastel & Cia;Açai;06-27-2024;68.93;8.41;10.0;2;Cartao Debito;Em preparo;Curitiba
159;Cliente_1362;Pizza_Mania;A@a�;28/04/2024;84.66;5.45;10.0;4;pix;Saiu para entrega;Salvador
160;Cliente_2975;Tempero Caseiro;Japonesa;16/04/2024;27.8;5.26;5.0;2;Pix;Saiu para entrega;Belo Horizonte
161;Cliente_1668;Churrasco Grill;Churrasco;05-20-2024;36.33;11.06;5.0;2;Dinheiro;Em preparo;Belo Horizonte
162;Cliente_2949;Burger House;Churrasco;12-30-2024;133.23;13.44;0.0;1;Pix;Entregue;Belo Horizonte
163;Cliente_1902;Pastel & Cia;Pizza;17/12/2024;25.48;13.91;5.0;3;Pix;Saiu para entrega;São Paulo
164;Cliente_329;Sushi Express;Japonesa;01/09/2024;131.59;15.0;5.0;3;Cartao Debito;Cancelado;São Paulo
165;Cliente_513;Tempero Caseiro;Churrasco;22/05/2024;114.12;7.63;10.0;3;Dinheiro;Entregue;São Paulo
166;Cliente_1965;Burger House;Japonesa;09/07/2024;73.92;7.13;5.0;3;pix;Saiu para entrega;Curitiba
167;Cliente_297;Sushi Express;Pizza;05/01/2024;21.56;10.17;5.0;1;Cartao Debito;Entregue;Salvador
168;Cliente_396;Pizza_Mania;Churrasco;09-23-2024;36.32;14.82;0.0;2;Cartão Crédito;Cancelado;Curitiba
169;Cliente_639;Pizza_Mania;A@a�;04/01/2024;26.05;8.08;0.0;2;Cartao Debito;Entregue;Belo Horizonte
170;Cliente_1170;Tempero Caseiro;Japonesa;29/07/2024;68.93;13.94;10.0;3;Cartão Crédito;Em preparo;Salvador
171;Cliente_394;Pizza_Mania;Churrasco;16/03/2024;143.04;14.93;5.0;1;Dinheiro;Entregue;Salvador
172;Cliente_2049;Tempero Caseiro;Açai;29/04/2024;57.16;7.73;;4;Pix;Entregue;Rio de Janeiro
173;Cliente_363;Churrasco Grill;Japonesa;29/06/2024;48.97;3.87;0.0;3;Dinheiro;Saiu para entrega;Rio de Janeiro
174;Cliente_2348;Pizza_Mania;Japonesa;02/05/2024;41.44;5.88;;3;Cartão Crédito;Cancelado;Curitiba
175;Cliente_1347;Sushi Express;Churrasco;30/12/2024;104.37;5.51;5.0;4;pix;Entregue;Belo Horizonte
176;Cliente_1433;Tempero Caseiro;Brasileira;08/07/2024;67.41;6.42;10.0;1;Dinheiro;Em preparo;São Paulo
177;Cliente_2644;Churrasco Grill;Churrasco;28/07/2024;38.47;6.1;0.0;1;Pix;Em preparo;Curitiba
178;Cliente_207;   - Tropical;Pizza;01-28-2024;125.29;8.36;5.0;3;Pix;Cancelado;Salvador
179;Cliente_2810;Pizza_Mania;Pizza;17/02/2024;85.96;6.82;10.0;2;Cartao Debito;Entregue;São Paulo
180;Cliente_634;Pizza_Mania;Brasileira;16/04/2024;44.93;8.84;5.0;3;Pix;Em preparo;Rio de Janeiro
181;Cliente_1770;Pizza_Mania;Italiana;11-20-2024;39.79;9.39;10.0;4;Cartão Crédito;Cancelado;Belo Horizonte
182;Cliente_16;Sushi Express;Brasileira;28/02/2024;95.78;14.94;0.0;3;Dinheiro;Entregue;São Paulo
183;Cliente_252;Pastel & Cia;Japonesa;05/06/2024;149.6;4.02;5.0;4;Dinheiro;Entregue;Belo Horizonte
184;Cliente_2872;Burger House;Brasileira;11/08/2024;133.18;11.91;0.0;2;Cartao Debito;Saiu para entrega;Curitiba
185;Cliente_2720;Sushi Express;Salgados;10/01/2024;27.74;10.5;0.0;2;Dinheiro;Saiu para entrega;Curitiba
186;Cliente_2112;Pizza_Mania;Italiana;20/09/2024;22.63;4.68;;3;Cartão Crédito;Entregue;Salvador
187;Cliente_2686;Churrasco Grill;Japonesa;17/05/2024;94.85;7.82;10.0;3;Cartao Debito;Em preparo;São Paulo
188;Cliente_495;   - Tropical;Italiana;01/11/2024;100.93;9.96;0.0;1;Pix;Em preparo;Rio de Janeiro
189;Cliente_241;Burger House;Brasileira;28/08/2024;104.45;6.18;;2;Cartão Crédito;Cancelado;Rio de Janeiro
190;Cliente_11;Churrasco Grill;Pizza;05/06/2024;43.27;5.3;;1;Cartao Debito;Entregue;Salvador
191;Cliente_1664;Tempero Caseiro;Açai;28/04/2024;148.79;9.84;5.0;1;Cartao Debito;Em preparo;São Paulo
192;Cliente_2305;   - Tropical;Hamburguer;19/01/2024;143.8;7.63;10.0;2;Cartao Debito;Em preparo;Salvador
193;Cliente_1507;Cantina Italiana;Italiana;29/07/2024;110.04;3.35;10.0;3;Pix;Entregue;Belo Horizonte
194;Cliente_2284;   - Tropical;Açai;08/10/2024;144.15;8.14;5.0;3;Cartao Debito;Saiu para entrega;Salvador
195;Cliente_1348;   - Tropical;Salgados;11/07/2024;142.34;11.62;10.0;2;Pix;Em preparo;Belo Horizonte
196;Cliente_1250;Cantina Italiana;Hamburguer;04/03/2024;69.68;13.47;;2;Cartão Crédito;Saiu para entrega;Salvador
197;Cliente_509;Sushi Express;Açai;15/08/2024;33.42;7.83;10.0;2;Dinheiro;Saiu para entrega;Belo Horizonte
198;Cliente_1088;   - Tropical;Churrasco;29/12/2024;127.98;8.67;;4;pix;Cancelado;Rio de Janeiro
199;Cliente_1651;Cantina Italiana;Pizza;26/01/2024;101.89;9.91;0.0;2;pix;Cancelado;Curitiba
200;Cliente_815;Burger House;Churrasco;20/01/2024;102.47;3.33;5.0;2;Pix;Saiu para entrega;Salvador
201;Cliente_1207;Sushi Express;Churrasco;09/10/2024;100.14;13.98;;3;Cartao Debito;Cancelado;Curitiba
202;Cliente_645;   - Tropical;Brasileira;10-24-2024;58.55;9.66;5.0;4;Cartao Debito;Em preparo;São Paulo
203;Cliente_372;Pastel & Cia;Salgados;19/01/2024;27.49;3.23;10.0;3;Cartão Crédito;Entregue;Salvador
204;Cliente_1560;   - Tropical;Japonesa;09/02/2024;43.28;3.04;5.0;2;pix;Em preparo;Salvador
205;Cliente_260;   - Tropical;Brasileira;01/03/2024;96.34;14.48;5.0;2;Dinheiro;Entregue;São Paulo
206;Cliente_1590;Pizza_Mania;Brasileira;25/01/2024;72.04;3.15;;4;Pix;Cancelado;Belo Horizonte
207;Cliente_1607;Tempero Caseiro;Açai;13/03/2024;115.53;8.71;0.0;2;Pix;Saiu para entrega;Salvador
208;Cliente_935;Burger House;Churrasco;18/11/2024;142.39;7.6;;3;Dinheiro;Em preparo;Curitiba
209;Cliente_650;Tempero Caseiro;Açai;16/04/2024;101.97;3.49;10.0;3;Pix;Saiu para entrega;Rio de Janeiro
210;Cliente_487;Churrasco Grill;Salgados;31/10/2024;48.95;11.15;0.0;3;Dinheiro;Em preparo;Rio de Janeiro
211;Cliente_2226;Burger House;Pizza;01-13-2024;34.87;5.97;5.0;3;Pix;Em preparo;Belo Horizonte
212;Cliente_2404;Pizza_Mania;A@a�;11/07/2024;149.42;11.15;0.0;1;Dinheiro;Entregue;São Paulo
213;Cliente_2206;Pastel & Cia;Italiana;26/12/2024;70.4;10.19;5.0;2;Dinheiro;Em preparo;Salvador
214;Cliente_1679;Pizza_Mania;Japonesa;27/03/2024;78.99;12.9;0.0;3;Dinheiro;Saiu para entrega;Rio de Janeiro
215;Cliente_2855;Pizza_Mania;Japonesa;04-25-2024;36.21;8.76;10.0;2;Cartão Crédito;Saiu para entrega;Salvador
216;Cliente_1284;Cantina Italiana;Açai;31/10/2024;57.11;11.09;5.0;1;Dinheiro;Cancelado;São Paulo
217;Cliente_2359;Tempero Caseiro;Pizza;27/02/2024;114.29;7.28;;2;pix;Entregue;São Paulo
218;Cliente_968;Sushi Express;Churrasco;16/10/2024;92.86;14.42;;1;Cartão Crédito;Em preparo;Belo Horizonte
